[2017-09-30 00:20:11] A Error Code: 8, Message:Undefined property: yoc\exception\ErrorHandler::$task_log, In Line :195, At File:/data/web/restful/vendor/yoc/exception/ErrorHandler.php
[2017-09-30 00:20:21] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-09-30 01:12:44] A Error Code: 8, Message:Undefined property: yoc\exception\ErrorHandler::$task_log, In Line :195, At File:/data/web/restful/vendor/yoc/exception/ErrorHandler.php
[2017-09-30 01:12:54] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-09-30 01:16:02] A Error Code: 8, Message:Undefined property: yoc\exception\ErrorHandler::$task_log, In Line :195, At File:/data/web/restful/vendor/yoc/exception/ErrorHandler.php
[2017-09-30 01:16:12] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-09-30 02:23:31] A Error Code: 8, Message:Undefined property: yoc\exception\ErrorHandler::$task_log, In Line :195, At File:/data/web/restful/vendor/yoc/exception/ErrorHandler.php
[2017-09-30 02:23:41] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-09-30 03:26:39] A Error Code: 8, Message:Undefined property: yoc\exception\ErrorHandler::$task_log, In Line :195, At File:/data/web/restful/vendor/yoc/exception/ErrorHandler.php
[2017-09-30 03:26:49] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-09-30 04:09:21] A Error Code: 8, Message:Undefined property: yoc\exception\ErrorHandler::$task_log, In Line :195, At File:/data/web/restful/vendor/yoc/exception/ErrorHandler.php
[2017-09-30 04:09:31] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-09-30 04:19:28] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 04:19:28] A Error Code: 8, Message:Undefined property: yoc\exception\ErrorHandler::$task_log, In Line :195, At File:/data/web/restful/vendor/yoc/exception/ErrorHandler.php
[2017-09-30 04:19:28] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 04:19:28] A Error Code: 8, Message:Undefined property: yoc\exception\ErrorHandler::$task_log, In Line :195, At File:/data/web/restful/vendor/yoc/exception/ErrorHandler.php
[2017-09-30 04:54:09] A Error Code: 8, Message:Undefined property: yoc\exception\ErrorHandler::$task_log, In Line :195, At File:/data/web/restful/vendor/yoc/exception/ErrorHandler.php
[2017-09-30 04:54:19] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-09-30 05:31:37] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 05:31:37] A Error Code: 8, Message:Undefined property: yoc\exception\ErrorHandler::$task_log, In Line :195, At File:/data/web/restful/vendor/yoc/exception/ErrorHandler.php
[2017-09-30 05:31:37] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
