[2017-10-07 01:12:01] A Error Code: 2, Message:Declaration of app\components\ActiveController::beforeAction($request) should be compatible with yoc\base\Controller::beforeAction(yoc\http\Request $request), In Line :139, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-07 03:36:41] A Error Code: 2, Message:Declaration of app\components\ActiveController::beforeAction($request) should be compatible with yoc\base\Controller::beforeAction(yoc\http\Request $request), In Line :139, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-07 07:19:44] A Error Code: 8, Message:Trying to get property of non-object, In Line :111, At File:/data/web/restful/app/controller/FriendGroupController.php
[2017-10-07 11:42:34] A Error Code: 2, Message:Declaration of app\components\ActiveController::beforeAction($request) should be compatible with yoc\base\Controller::beforeAction(yoc\http\Request $request), In Line :139, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-07 11:42:34] A Error Code: 2, Message:PDO::getAttribute(): MySQL server has gone away, In Line :146, At File:/data/web/restful/vendor/yoc/db/Connect.php
[2017-10-07 12:07:38] A Error Code: 2, Message:PDO::getAttribute(): MySQL server has gone away, In Line :146, At File:/data/web/restful/vendor/yoc/db/Connect.php
[2017-10-07 12:07:38] A Error Code: 2, Message:Declaration of app\components\ActiveController::beforeAction($request) should be compatible with yoc\base\Controller::beforeAction(yoc\http\Request $request), In Line :139, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-07 12:07:38] A Error Code: 2, Message:Declaration of app\components\ActiveController::beforeAction($request) should be compatible with yoc\base\Controller::beforeAction(yoc\http\Request $request), In Line :139, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-07 12:10:08] A Error Code: 2, Message:Declaration of app\components\ActiveController::beforeAction($request) should be compatible with yoc\base\Controller::beforeAction(yoc\http\Request $request), In Line :139, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-07 15:55:50] A Error Code: 8, Message:Trying to get property of non-object, In Line :111, At File:/data/web/restful/app/controller/FriendGroupController.php
[2017-10-07 16:10:41] A Error Code: 4096, Message:Object of class app\model\User could not be converted to string, In Line :247, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-10-07 16:13:50] A Error Code: 4096, Message:Object of class app\model\User could not be converted to string, In Line :247, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-10-07 16:32:50] A Error Code: 4096, Message:Object of class app\model\User could not be converted to string, In Line :247, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-10-07 16:49:15] A Error Code: 2, Message:unlink(/data/web/restful/runtime/cachexl_message.log): No such file or directory, In Line :163, At File:/data/web/restful/vendor/yoc/cache/FileCache.php
[2017-10-07 16:50:16] A Error Code: 2, Message:unlink(/data/web/restful/runtime/cachexl_message.log): No such file or directory, In Line :163, At File:/data/web/restful/vendor/yoc/cache/FileCache.php
[2017-10-07 17:32:18] A Error Code: 2, Message:unlink(/data/web/restful/runtime/cachexl_message.log): No such file or directory, In Line :163, At File:/data/web/restful/vendor/yoc/cache/FileCache.php
[2017-10-07 19:29:28] A Error Code: 4096, Message:Object of class app\model\User could not be converted to string, In Line :247, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-10-07 19:30:30] A Error Code: 4096, Message:Object of class app\model\User could not be converted to string, In Line :247, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-10-07 19:33:57] A Error Code: 4096, Message:Object of class app\model\User could not be converted to string, In Line :247, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-10-07 19:35:32] A Error Code: 4096, Message:Object of class app\model\User could not be converted to string, In Line :247, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-10-07 19:36:06] A Error Code: 4096, Message:Object of class app\model\User could not be converted to string, In Line :247, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-10-07 23:00:11] A Error Code: 4096, Message:Object of class app\model\User could not be converted to string, In Line :247, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
