[2017-10-08 00:34:44] A Error Code: 2, Message:unlink(/data/web/restful/runtime/cachexl_message.log): No such file or directory, In Line :163, At File:/data/web/restful/vendor/yoc/cache/FileCache.php
[2017-10-08 01:48:22] A Error Code: 8, Message:A non well formed numeric value encountered, In Line :116, At File:/data/web/restful/app/controller/MessageController.php
[2017-10-08 01:49:06] A Error Code: 8, Message:A non well formed numeric value encountered, In Line :116, At File:/data/web/restful/app/controller/MessageController.php
[2017-10-08 01:51:56] A Error Code: 8, Message:A non well formed numeric value encountered, In Line :116, At File:/data/web/restful/app/controller/MessageController.php
[2017-10-08 02:15:13] A Error Code: 8, Message:Undefined variable: userId, In Line :138, At File:/data/web/restful/app/logic/GroupLogic.php
[2017-10-08 02:15:13] A Error Code: 8, Message:Undefined variable: userId, In Line :138, At File:/data/web/restful/app/logic/GroupLogic.php
[2017-10-08 03:57:06] A Error Code: 8, Message:Trying to get property of non-object, In Line :111, At File:/data/web/restful/app/controller/FriendGroupController.php
[2017-10-08 06:39:58] A Error Code: 8, Message:Trying to get property of non-object, In Line :111, At File:/data/web/restful/app/controller/FriendGroupController.php
[2017-10-08 07:40:39] A Error Code: 8, Message:Trying to get property of non-object, In Line :111, At File:/data/web/restful/app/controller/FriendGroupController.php
[2017-10-08 10:02:35] A Error Code: 8, Message:Trying to get property of non-object, In Line :111, At File:/data/web/restful/app/controller/FriendGroupController.php
[2017-10-08 10:50:49] A Error Code: 2, Message:PDO::getAttribute(): MySQL server has gone away, In Line :146, At File:/data/web/restful/vendor/yoc/db/Connect.php
